Sample	tsne1	tsne2	Patient	Position	Cluster	Cluster
P1_T1_Villus_B1_33	10.55540456393	1.05567283772579	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_35	16.1667628583441	7.86340587312678	P1	Villus	9	Immune
P1_T1_Villus_B1_36	4.41962060709114	-0.787102655466995	P1	Villus	5	Enter-1
P1_T1_Villus_B1_38	1.51120256773289	-9.7899725880347	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_4	-1.66512894602547	-9.67256074345084	P1	Villus	5	Enter-1
P1_T1_Villus_B1_40	7.11225762984665	4.54302237400501	P1	Villus	5	Enter-1
P1_T1_Villus_B1_41	10.6442287920328	1.84926766741944	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_42	5.81220868717109	-5.70374466272419	P1	Villus	5	Enter-1
P1_T1_Villus_B1_43	5.76430968497744	-5.67675595141039	P1	Villus	5	Enter-1
P1_T1_Villus_B1_45	11.2356313433799	2.68466939940834	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_47	2.22678712003052	-6.9540829439348	P1	Villus	5	Enter-1
P1_T1_Villus_B1_48	5.25659664375834	-5.07247402511669	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_49	12.3743167601607	1.65923688807063	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_50	8.3545103624197	1.64612144062012	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_51	-12.1883964409411	-7.09974839224682	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_52	11.7329035035528	5.47537395171926	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_53	-14.0409677628442	-11.6707517582815	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_54	2.30531566510586	-7.01879216737487	P1	Villus	5	Enter-1
P1_T1_Villus_B1_55	6.0701645713453	-2.04280021872516	P1	Villus	5	Enter-1
P1_T1_Villus_B1_57	12.3174207257333	1.75511152019728	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_58	4.90684680024619	-0.99267693612823	P1	Villus	5	Enter-1
P1_T1_Villus_B1_59	6.403287408854	0.584513163505009	P1	Villus	5	Enter-1
